,sigla,conferencia,categoria,link,CE_Indicou,h5,Qualis_Final,data-atualizacao,data-tentativa,logs,h5_old,Uso do Scholar,Qualis 2016,Qualis_Sem_Inducao,Ajuste ou evento SBC,LINK INFOGRÁFICO
925,IVAPP,International Conference on Information Visualization Theory and Applications,2,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=ztMqUOkonasJ.2018,Relevante,8,B3,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,10.0,,B1,B2,,
926,IVCNZ,International Conference Image and Vision Computing New Zealand,1,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=4_qF9l7aGfYJ.2018,nulo,10,B2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,,,,,,
927,IVS,Intelligent Vehicles Symposium,1,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=BXKrKfEyuD0J.2018,nulo,35,A1,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,35.0,,B1,A1,,
928,IWANN,International Work-Conference on Artificial and Natural Neural Networks,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=AMf-y6jz9g0J.2018,nulo,13,B1,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,13.0,,B1,B1,,
929,IWBBIO,International Work-Conference on Bioinformatics and Biomedical Engineering,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=T4IEJzWRVqIJ.2018,Top10,10,A4,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,10.0,,B2,B2,,
930,IWBF,International Workshop on Biometrics and Forensics,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=ukypwslmClwJ.2018,nulo,13,B1,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,13.0,,B3,B1,,
931,IWCMC,International Wireless Communications and Mobile Computing Conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=c5DgYVXCJpsJ.2018,Relevante,25,A2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,25.0,,A2,A2,,
932,IWCS,International Workshop on Computational Semantics,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Computational+Semantics&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,24,A3,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,24.0,1.0,,A3,,
933,IWCTS,International Workshop on Computational Transportation Science,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Computational+Transportation+Science&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,9,B2,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,9.0,1.0,,B2,,
934,IWOCA,International Workshop on Combinatorial Algorithms,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=aEFAi4RU6TEJ.2018,nulo,9,B2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,9.0,,B2,B2,,
935,IWPSE,International Workshop on Principles of Software Evolution,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Principles+of+Software+Evolution&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,7,B3,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,7.0,1.0,B4,B3,,
936,IWQoS,IEEE/ACM International Symposium on Quality of Service,1,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=hI4YkCzmiU4J.2019,nulo,18,A4,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,,,,,,
937,IWS,Iberchip Workshop,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Iberchip+Workshop&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,4,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,4.0,1.0,B5,B4,,
938,IWSECO,International Workshop on Software Ecosystems,2,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Software+Ecosystems&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,9,B2,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,9.0,1.0,B4,B2,,
939,IWSG,International Workshop on Science Gateways,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Science+Gateways&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,6.0,1.0,B5,B3,,
940,IWSSIP,"International Conference on Systems, Signals and Image Processing",2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=GsvS_jxfxCoJ.2018,Top20,11,B1,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,11.0,,B1,B2,,
941,IWT,International Workshop on Telecommunications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Telecommunications&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,8,B3,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,8.0,1.0,B3,B3,,
942,JCDL,ACM/IEEE Joint Conference on Digital Libraries,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=kmUykvIpY_UJ.2018,nulo,21,A3,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,21.0,,A2,A3,,
943,JCSC,JOINT INTERNATIONAL CONFERENCE ON SERIOUS GAMES,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=JOINT+INTERNATIONAL+CONFERENCE+ON+SERIOUS+GAMES&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,6,B3,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,6.0,1.0,,B3,,
944,JCSSE,International Joint Conference on Computer Science and Software Engineering,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=-g_TjCepYWIJ.2018,nulo,12,B1,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,12.0,,B2,B1,,
945,JURIX,International Conference on Legal Knowledge and Information Systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=hTnzOl0B1DQJ.2018,Relevante,10,B2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,10.0,,B2,B2,,
946,KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=DxPOk84pRIIJ.2018,Top10,77,A1,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,77.0,,A1,A1,,
947,KDIR,International Conference on Knowledge Discovery and Information Retrieval,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=UDGD1AtMr3UJ.2018,Relevante,10,B2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,10.0,,,B2,,
948,KDMILE,"Symposium on Knowledge Discovery, Mining and Learning",2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Symposium+on+Knowledge+Discovery%2C+Mining+and+Learning&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Top20,3,B3,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,3.0,1.0,B5,B4,,
949,KES,International Conference on Knowledge-Based and Intelligent Information & Engineering Systems,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Knowledge-Based+and+Intelligent+Information+%26+Engineering+Systems&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,2,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,2.0,2.0,B1,B4,,
950,KESAMSTA,MSTA - International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=yxUysC3sp9IJ.2018,nulo,9,B2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,9.0,,B1,B2,,
951,KESW,International Conference on Knowledge Engineering and Semantic Web,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Knowledge+Engineering+and+Semantic+Web&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,13,B1,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,13.0,1.0,B2,B1,,
952,KMO,International Conference on Knowledge Management in Organizations,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=-yAq_nHfnI0J.2018,Relevante,7,B3,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,7.0,,B3,B3,,
953,KnowLOD,Workshop on Knowledge Discovery and Data Mining Meets Linked Open Data,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Knowledge+Discovery+and+Data+Mining+Meets+Linked+Open+Data&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,1,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,1.0,2.0,B4,B4,,
954,KR,International Conference on Principles of Knowledge Representation and Reasoning,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=mK5NIOh7kkEJ.2018,Top10,21,A3,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,21.0,,A2,A3,,
955,L@S,ACM Conference on Learning @ Scale,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=ACM+Conference+on+Learning+%40+Scale&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=0%2C5,nulo,10,B2,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,10.0,1.0,,B2,,
956,LA-CCI,CI - Latin American Conference on Computational Intelligence,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=MQjh4nsifjAJ.2018,nulo,3,B4,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,3.0,,B4,B4,,
957,LA-WEB,Latin American Web Congress,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:36:18,categorias 3 e 4 não são atualizadas,,,B3,,,
958,LAC,Linux Audio Conference,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Linux+Audio+Conference&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Top20,8,B2,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,8.0,1.0,B5,B3,,
959,LACLO,Latin American Conference on Learning Objects and Technologies,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Ex8QTqfC8fEJ.2018,Top20,6,B2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,6.0,,B3,B3,,
960,LADC,Latin-American Symposium on Dependable Computing,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Latin-American+Symposium+on+Dependable+Computing&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Top20,8,B2,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,8.0,1.0,B3,B3,,
961,LAGOS,"Latin-American Algorithms, Graphs and Optimization Symposium",2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Latin-American+Algorithms%2C+Graphs+and+Optimization+Symposium&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Top20,1,B3,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,1.0,1.0,B3,B4,,
962,LAK,International Learning Analytics and Knowledge Conference,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=vyPePYGDYIkJ.2018,Top20,34,A2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,34.0,,A1,A2,,
963,LANC,Latin American Networking Conference,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:36:18,categorias 3 e 4 não são atualizadas,,,B3,,,
964,LANMAN,IEEE International Symposium on Local and Metropolitan Area Networks,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=IEEE+International+Symposium+on+Local+and+Metropolitan+Area+Networks&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,9,B2,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,9.0,1.0,B2,B2,,
965,LANOMS,Latin-American Network Operations and Management Symposium,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Latin-American+Network+Operations+and+Management+Symposium&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,5,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,5.0,1.0,B3,B4,,
966,LARS,IEEE Latin American Robotics Symposium,3,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=JUcVqGhEKJsJ.2019,Top20,7,B1,não se aplica,15/08/2021 03:36:18,categorias 3 e 4 não são atualizadas,7.0,,B3,B3,B1,
967,LARS/SBR,Simpósio Brasileiro de Robótica,3,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=JUcVqGhEKJsJ.2019,Top20,7,B1,não se aplica,15/08/2021 03:36:18,categorias 3 e 4 não são atualizadas,7.0,1.0,,B3,B1,
968,LASCAS,IEEE Latin American Symposium on Circuits and Systems,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=HwA04ld57EIJ.2018,Top20,9,B1,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,9.0,,B2,B2,,
969,LATIN,Latin American Symposium on Theoretical Informatics,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=OeICmY9lwg4J.2018,Top10,11,A4,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,11.0,,B1,B2,,
970,LATINCLOUD,IEEE Latin America Conference on Cloud Computing and Communications,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:36:18,categorias 3 e 4 não são atualizadas,,,B5,,,
971,LATINCOM,IEEE Latin-American Conference on Communications,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=P88GQzAGJOcJ.2019,Relevante,9,B2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,8.0,,B2,B3,,
972,LATINCRYPT,International Conference on Cryptology and Information Security in Latin America,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Cryptology+and+Information+Security+in+Latin+America&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,14,B1,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,14.0,1.0,B3,B1,,
973,LATS,IEEE Latin American Test Symposium,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=47kuzYIA66oJ.2018,Relevante,9,B2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,9.0,,,B2,,
974,LATW,Latin American Test Workshop,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=47kuzYIA66oJ.2018,Relevante,9,B2,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,9.0,,B2,B2,,
975,LAW,Linguistic Annotation Workshop,1,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=NMY1tJLNsGIJ.2018,nulo,12,B1,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,12.0,,B3,B1,,
976,LAWCG,Latin American Workshop on Cliques in Graphs,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Latin+American+Workshop+on+Cliques+in+Graphs&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,1,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,1.0,2.0,B5,B4,,
977,LAWCN,Latin-American Workshop on Computational Neuroscience,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Latin-American+Workshop+on+Computational+Neuroscience&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,3.0,1.0,,B4,,
978,LCDNET,Workshop on Lowest Cost Denominator Networking for Universal Access,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Lowest+Cost+Denominator+Networking+for+Universal+Access&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,5,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,5.0,1.0,B4,B4,,
979,LCN,IEEE Conference on Local Computer Networks,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=VJAOLvT5n6QJ.2018,Relevante,19,A4,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,19.0,,B1,A4,,
980,LCTES,"ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems",4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:36:18,categorias 3 e 4 não são atualizadas,,,,,,
981,LCTRTS,"ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Real-Time Systems",4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:36:18,categorias 3 e 4 não são atualizadas,,,B2,,,
982,LDAV,IEEE Symposium on Large Data Analysis and Visualization,2,https://scholar.google.com.br/citations?hl=pt-BR&vq=eng_computergraphics&view_op=list_hcore&venue=PuM6IoLx1yoJ.2018,Relevante,13,B1,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,13.0,,,B1,,
983,LFCS,Symposium on Logical Foundations of Computer Science,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Symposium+on+Logical+Foundations+of+Computer+Science&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,10,B2,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,10.0,1.0,,B2,,
984,LICS,IEEE Symposium on Logic in Computer Science,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=5mWbSIB9be8J.2018,Top10,22,A3,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,22.0,,,A3,,
985,LIDTA,Workshop on Learning with Imbalanced Domains: Theory and Applications,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Learning+with+Imbalanced+Domains%3A+Theory+and+Applications&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,3.0,1.0,,B4,,
986,LINKDEM,Workshop on Linked Democracy : Artificial Intelligence for Democratic Innovation,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Linked+Democracy+%3A+Artificial+Intelligence+for+Democratic+Innovation&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,2,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,2.0,1.0,,B4,,
987,LION,Learning and Intelligent Optimization Conference,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Learning+and+Intelligent+Optimization+Conference&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,18,A4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,18.0,1.0,B1,A4,,
988,LISS,"International Conference on Logistics, Informatics and Services Sciences",1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Logistics%2C+Informatics+and+Services+Sciences&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,1,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,1.0,2.0,B5,B4,,
989,LocalRec,"International Workshop on Location-Based Recommendations, Geosocial Networks and Geoadvertising",4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:36:18,categorias 3 e 4 não são atualizadas,,,,,,
990,LocWeb,International Workshop on Location and the Web,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Location+and+the+Web&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,Top20,4,B3,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,4.0,1.0,,B4,,
991,LoPaS,Location Privacy and Security Workshop,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:36:18,categorias 3 e 4 não são atualizadas,,,,,,
992,LPAR,"International Conference on Logic for Programming, Artificial Intelligence and Reasoning",2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ozp4eGSpHjcJ.2018,Top20,17,A3,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,17.0,,,A4,,
993,LPNMR,International Conference on Logic Programming and Non-monotonic Reasoning,2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=_6SIEfLFyFgJ.2018,Top20,16,A3,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,16.0,,B1,A4,,
994,LREC,International Conference on Language Resources and Evaluation,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=qf6JB6yXg1UJ.2019,Top10,45,A1,15/08/2021 03:36:18,15/08/2021 03:36:18,atualizado com sucesso,37.0,,A1,A1,,
995,LSFA,"Workshop on Logical and Semantic Frameworks, with Applications",2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Logical+and+Semantic+Frameworks%2C+with+Applications&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,Relevante,1,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,1.0,2.0,B3,B4,,
996,LTEC,International Workshop on Learning Technology for Education Challenges,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Learning+Technology+for+Education+Challenges&as_ylo=2014&as_yhi=2018&hl=en&as_sdt=1%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,3.0,1.0,,B4,,
997,M4IOT,Workshop on Middleware for Context-Aware Applications in the IoT,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+on+Middleware+for+Context-Aware+Applications+in+the+IoT&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,7,B3,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,7.0,1.0,B4,B3,,
998,MABS,International Workshop on Multi-Agent Based Simulation,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Multi-Agent+Based+Simulation&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,9,B2,link sem info h5,15/08/2021 03:36:18,não encontrou a tag span: list index out of range,9.0,1.0,B4,B2,,
999,MANSDNNFV,International Workshop on Management of SDN and NFV Systems,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:36:44,categorias 3 e 4 não são atualizadas,,,B4,,,
1000,MARMI,International Workshop on Multimedia Analysis and Retrieval for Multimodal Interaction,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Multimedia+Analysis+and+Retrieval+for+Multimodal+Interaction&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,4,B4,link sem info h5,15/08/2021 03:36:44,não encontrou a tag span: list index out of range,4.0,1.0,B4,B4,,
1001,MASCOTS,"International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",2,https://scholar.google.com.br/citations?hl=en&view_op=list_hcore&venue=Aa95SbKqOawJ.2018,Relevante,17,A4,15/08/2021 03:36:44,15/08/2021 03:36:44,atualizado com sucesso,17.0,,A2,A4,,
1002,MASLE,Workshop in Multiagent System Based Learning Environments,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+in+Multiagent+System+Based+Learning+Environments&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,1,B4,link sem info h5,15/08/2021 03:36:44,não encontrou a tag span: list index out of range,1.0,2.0,B5,B4,,
1003,MASS,Mobility Analytics from Spatial and Social Data,4,Induzidos manualmente,Relevante,nulo,B4,não se aplica,15/08/2021 03:36:44,categorias 3 e 4 não são atualizadas,,,B4,,,
1004,MATES,German Conference on Multiagent System Technologies,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=German+Conference+on+Multiagent+System+Technologies&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,9,B2,link sem info h5,15/08/2021 03:36:44,não encontrou a tag span: list index out of range,9.0,1.0,B2,B2,,
1005,Matheuristics,International Workshop on Model-based metaheuristics,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Workshop+on+Model-based+metaheuristics&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,1,B4,link sem info h5,15/08/2021 03:36:44,não encontrou a tag span: list index out of range,1.0,2.0,B5,B4,,
1006,MCDM,International Conference on Multiple Criteria Decision Making,1,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=International+Conference+on+Multiple+Criteria+Decision+Making&as_ylo=2014&as_yhi=2018&hl=pt-BR&as_sdt=0%2C5,nulo,3,B4,link sem info h5,15/08/2021 03:36:44,não encontrou a tag span: list index out of range,3.0,1.0,B5,B4,,
