,producoes
2290,"
PASQUALI, A. ; MIYAMOTO, E. ; Martins, E. M. ; SILVA FILHO, J. M. ; COSTA, L. C. M. ; ROMERO, M. E. R. ; SANTOS, R. . SIDAT - SISTEMA INTEGRADO DE DIAGNÓSTICO EM TRANSFORMADORES. 2012. 
                Patente:
                Programa de Computador.
            Número do registro: 13135-2, título: ""SIDAT - SISTEMA INTEGRADO DE DIAGNÓSTICO EM TRANSFORMADORES"" , Instituição de registro: INPI - Instituto Nacional da Propriedade Industrial.          
        
"
2291,"
 Martins, E. M. ; ROMERO, M. E. R. ; GONZALES, M. E. D. ; SANTOS, R. . Circuito Integrado de Portas Lógicas MVL. 
						2012, 
						Brasil. 
                Patente:
                Topografia de Circuito Integrado Registrada.
            Número do registro: PI, título: ""Circuito Integrado de Portas Lógicas MVL"" , Instituição de registro: INPI - Instituto Nacional da Propriedade Industrial.          
        Instituição(ões) financiadora(s): MCTI; Fundect-MS; UFMS; CNPq.
					
"
2292,"
ARRUDA, C. C. P. ; SANTOS, R. . Interciências: Produção de Materiais Didáticos Reais e Virtuais para o Ensino de Ciências. 1. ed. Campo Grande: Editora UFMS, 2014. 127p . 
"
2293,"
SOUZA, F. P. ; SANTOS, R. . Investindo em Novos Talentos da Rede de Educação Pública para Inclusão Social e Desenvolvimento da Cultura Científica em Três Lagoas-MS. 1. ed. Campo Grande: Editora UFMS, 2014. 84p . 
"
2294,"
SANTOS, R.. Do Átomo ao Bit: desvendado o processo de fabricação de circuitos integrados. 2012. (Apresentação de Trabalho/Conferência ou palestra). 
"
2295,"
SANTOS, R.. Projeto de Circuitos Reconfiguráveis. 2013. (Curso de curta duração ministrado/Outra). 
"
2296,"
SANTOS, R.. Introdução à Computação Física. 2013. (Curso de curta duração ministrado/Outra). 
"
2297,"1SANTOS, R.2016

SANTOS, R.; MARKS, R. ; SANTOS, R. F. ; ARAUJO, F. O. . Instruction Set Independent Program Encoding. Design Automation for Embedded Systems, v. 20, p. 21-45, 2016. 
"
2298,"
SANTOS, R.2020SANTOS, R.; ALVES, F. V. ; BRESSAN, P. O. ; AGUIAR, R. E. ; SANTOS, W. O. ; ALVES, R. . A Physiological-Monitoring Electronic Platform for Cattle Grazing Systems. INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS, v. 11, p. 1-12, 2020. 
"
2299,"
DEFALQUE, G. A.2020DEFALQUE, G. A. ; SANTOS, R. ; YOSHIMURA, V. ; ALVES, F. V. . Ingestive Behaviour Activities Based on Bioacoustic Signals in Grazing Cattle. INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS, v. 11, p. 69-83, 2020. 
"
2300,"
SANTOS, R. M. O.2019SANTOS, R. M. O. ; SARAIVA, E. F. ; ARCE, T. F. ; SANTOS, R. . Predição do Nível de Sombreamento Utilizando um Modelo de Regressão Logístico Multinomial em Sistemas de Criação de Bovinos de Corte. REVISTA BRASILEIRA DE BIOMETRIA, v. 37, p. 378-393, 2019. 
"
2301,"
5ARAUJO, F. O.2018ARAUJO, F. O. ; SANTOS, R. . Projeto e Implementação de Decodificadores de Código em Plataformas FPGA. REVISTA ELETRÔNICA DE INICIAÇÃO CIENTÍFICA, v. 16, p. 1-12, 2018. 
"
2302,"
SANTOS, R.2018

SANTOS, R.; DUENHA, LIANA ; SILVA, A. C. S. ; BIGNARDI, T. ; SOUSA, M. ; TEDESCO, L. ; MELGAREJO JUNIOR, J. ; AZEVEDO, RODOLFO ; ORDONEZ, E. D. M. . Dark-Silicon Aware Design Space Exploration. JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING, v. 120, p. 295-306, 2018. 
"
2303,"
DUENHA, LIANA2017DUENHA, LIANA ; MAGALHAES, F. C. ; SANTOS, M. T. ; SANTOS, RICARDO . Avaliação de preditores de desvios por meio de simuladores como parte do processo de ensino e aprendizagem de Arquitetura de Computadores. INTERNATIONAL JOURNAL OF COMPUTER ARCHITECTURE EDUCATION, v. 6, p. 1-9, 2017. 
"
2304,"
1SANTOS, R.2016

SANTOS, R.; MARKS, R. ; SANTOS, R. F. ; ARAUJO, F. O. . Instruction Set Independent Program Encoding. Design Automation for Embedded Systems, v. 20, p. 21-45, 2016. 
"
2305,"
2ROMERO, M. E. R.2014

ROMERO, M. E. R. ; Martins, E. M. ; GONZALES, M. E. D. ; SANTOS, R. . Universal Set of CMOS Gates for the Synthesis of Multiple Valued Logic Digital Circuits. IEEE Transactions on Circuits and Systems. I, Regular Papers (Print), v. 61, p. 736-749, 2014. 
"
2306,"
6SANTOS, R.2013SANTOS, R.. Utilização de Plataformas de Hardware Aberto no Ensino: Um Estudo de Caso na Disciplina de Introdução à Engenharia de Computação. International Journal of Computer Architecture Education, v. 2, p. 37-40, 2013. 
"
2307,"
4SANTOS, R.2009SANTOS, R.; AZEVEDO, R. ; ARAUJO, G. C. S. . Instruction Scheduling Based on Subgraph Isomorphism for a High Performance Computer Processor. JOURNAL OF UNIVERSAL COMPUTER SCIENCE, v. 14, p. 3465-3480, 2009. 
"
2308,"
3SANTOS, R.2009

SANTOS, R.; BATISTELLA, R. ; AZEVEDO, R. . A pattern based instruction encoding technique for high performance architectures. International Journal of High Performance Systems Architecture (Print), v. 2, p. 71, 2009. 
"
2309,"
ARRUDA, C. C. P. ; SANTOS, R. . Interciências: Produção de Materiais Didáticos Reais e Virtuais para o Ensino de Ciências. 1. ed. Campo Grande: Editora UFMS, 2014. 127p . 
"
2310,"
SOUZA, F. P. ; SANTOS, R. . Investindo em Novos Talentos da Rede de Educação Pública para Inclusão Social e Desenvolvimento da Cultura Científica em Três Lagoas-MS. 1. ed. Campo Grande: Editora UFMS, 2014. 84p . 
"
2311,"
IAIONE, F. ; SANTOS, R. . Computação Física. In: Edson Takashi Matsubara; Ricardo Ribeiro dos Santos. (Org.). Interciências: Despertando Talentos em Computação. 1ed.Campo Grande: Editora UFMS, 2014, v. , p. 43-58. 
"
2312,"
SANTOS, R. R.; CASTRO JUNIOR, A. A. ; ROMERO, M. E. R. ; RUCHSKYS, D. P. . A Computação Paralela e o Cenário Regional. Informativo Mensal da UCDB, Campo Grande, 03 mar.  2003. 
"
2313,"
CATELAN, D. ; SANTOS, R. ; DUENHA, L. D. . Accuracy and Physical Characterization of ApproximateArithmetic Circuits. In: Simpósio em Sistemas Computacionais de Alto Desempenho, 2020. Anais do XXI Simpósio em Sistemas Computacionais de Alto Desempenho - WSCAD, 2020. p. 143-154. 
"
2314,"
DUENHA, L. D. ; SONOHATA, R. ; ARIGONI, D. C. A. ; SANTOS, R. . Preditor de Desempenho de GPUs aplicado à Exploração do Espaço de Projetos ciente de Dark-Silicon. In: Simpósio em Sistemas Computacionais de Alto Desempenho, 2020. Anais do XXI Simpósio em Sistemas Computacionais de Alto Desempenho - WSCAD, 2020. p. 299-310. 
"
2315,"
SANTOS, MATEUS T. DOS ; SONOHATA, RHAYSSA ; KREBS, CASIO ; SEGOVIA, DIEGO ; SANTOS, RICARDO ; DUENHA, LIANA . Performance Models for Heterogeneous Systems Applied to the Dark Silicon-Aware Design Space Exploration. In: 2019 31st International Symposium on Computer Architecture and High Performance Computing (SBACPAD), 2019, Campo Grande. 2019 31st International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD), 2019. p. 9-16. 
"
2316,"
SONOHATA, R. ; KREBS, C. ; CATELAN, D. ; DUENHA, L. D. ; SEGOVIA, D. ; SANTOS, M. T. ; SANTOS, R. . Exploração do Projeto de Sistemas Baseados em GPU ciente de Dark Silicon. In: Simpósio em Sistemas Computacionais de Alto Desempenho, 2019, Campo Grande. 2019: Anais do XX Simpósio em Sistemas Computacionais de Alto Desempenho, 2019. p. 358-369. 
"
2317,"
SANTOS, M. T. ; OLIVEIRA, T. R. ; SONOHATA, R. ; KREBS, C. ; DUENHA, L. D. ; SANTOS, R. . Modelo de Predição de Desempenho Integrado à Exploração do Espaço de Projetos. In: Workshop de Computação Heterogênea, 2018, São Paulo. II Workshop de Computação Heterogênea, 2018. p. 630-641. 
"
2318,"
SANTOS, R.; BIGNARDI, T. ; SILVA, A. C. S. ; DUENHA, L. D. ; AZEVEDO, R. ; ORDONEZ, E. D. M. . On the Dark Silicon Automatic Evaluation on Multicore Processors. In: 28th International Symposium on Computer Architecture and High Performance Computing, 2016, Los Angeles. 2016 IEEE 28th International Symposium on Computer Architecture and High Performance Computing, 2016. p. 166-173. 
"
2319,"
SANTOS, R.; AGUIAR, R. E. ; SOKEN, P. H. ; DUENHA, LIANA ; FERRAZ, S. B. . Thread Footprint Analysis for the Design of Multithreaded Applications and Multicore Systems. In: 7th Workshop on Applications for Multi-Core Architectures, 2016, Los Angeles. 2016 International Symposium on Computer Architecture and High Performance Computing Workshops, 2016. p. 55-60. 
"
2320,"
SANTOS, RICARDO; MARKS, RENAN ; ALVES, RAFAEL ; ARAUJO, FELIPE ; SANTOS, RENATO . Instruction decoders based on pattern factorization. In: 2015 28th IEEE International SystemonChip Conference (SOCC), 2015, Beijing. 2015 28th IEEE International System-on-Chip Conference (SOCC). p. 180-185. 
"
2321,"
SILVA, A. C. S. ; BIGNARDI, T. ; PALMA, E. ; ALVES, R. ; HAYASHI, C. ; SANTOS, R. . Identificação Automática de Dark Silicon em Processadores Multicore. In: Simpósio em Sistemas Computacionais de Alto Desempenho (WSCAD), 2015, Florianópolis. XVI Simpósio em Sistemas Computacionais de Alto Desempenho, 2015. 
"
2322,"


DEVIGO, RODRIGO ; DUENHA, LIANA ; AZEVEDO, RODOLFO ; SANTOS, RICARDO . MultiExplorer: A tool set for multicore system-on-chip design exploration. In: 2015 IEEE 26th International Conference on Applicationspecific Systems, Architectures and Processors (ASAP), 2015, Toronto. 2015 IEEE 26th International Conference on Application-specific Systems, Architectures and Processors (ASAP). p. 160. 
"
2323,"
SANTOS, R.. Open Hardware Platforms in a First Course of the Computer Engineering Undergraduate Program. In: 2014 IEEE Frontiers in Education Conference Proceedings (FIE), 2014, Madrid. 44th Annual Frontiers in Education (FIE) Conference, 2014. p. 2085-2091. 
"
2324,"
SANTOS, R.. Environmental Technological Projects in the Computer Engineering Program. In: Frontiers in Education Conference, 2014, Madrid. 2014 IEEE Frontiers in Education Conference Proceedings (FIE), 2014. p. 310-313. 
"
2325,"
KOIKE, C. ; MAX, E. ; GHELERI, R. ; SANTOS, R. . Coretool: análise e identificação de threads em sistemas multicore. In: XV Simpósio em Sistemas Computacionais de Alto Desempenho (WSCAD 2014), 2014, São José dos Campos. Anais da 15a edição do Simpósio em Sistemas Computacionais de Alto Desempenho (WSCAD 2014), 2014. p. 192-203. 
"
2326,"
SANTOS, R.; BRESSAN, P. O. ; ARAUJO, FELIPE ; ALVES, F. V. . Uso de Sensores na Pecuária. In: SIMPÓSIO BRASILEIRO DE PECUÁRIA DE PRECISÃO APLICADA À BOVINOCUTURA DE CORTE, 2014, Campo Grande. SIMPÓSIO BRASILEIRO DE PECUÁRIA DE PRECISÃO APLICADA À BOVINOCUTURA DE CORTE, 2014. 
"
2327,"
ARAUJO, F. O. ; SANTOS, R. . Projeto e Implementação de Decodificadores de Código em Plataformas FPGA. In: XXXIII Congresso da Sociedade Brasileira de Computação - Concurso de Trabalhos de Iniciação Científica, 2013, Maceió. Anais do XXXIII Congresso da Sociedade Brasileira de Computação, 2013. p. 161-170. 
"
2328,"
MARKS, RENAN ; SANTOS, RICARDO ; SANTOS, RENATO . A framework for instruction encoding designs on embedded processors. In: 2013 International Symposium on Rapid System Prototyping (RSP), 2013, Montreal. 2013 International Symposium on Rapid System Prototyping (RSP). p. 116-122. 
"
2329,"
SANTOS, R. F. ; MARKS, R. ; SANTOS, R. . PBIW-SPARC: Uma Estratégia para Codificação de Instruções em Programas SPARC. In: Workshop de Sistemas Computacionais de Alto Desempenho - Simpósio em Sistemas Computacionais, 2013, Recife. Anais do XIV Simpósio em Sistemas Computacionais (WSCAD-SSC), 2013. p. 60-67. 
"
2330,"
MARKS, RENAN ; ARAUJO, FELIPE ; SANTOS, RENATO ; YONEHARA, FELIPE ; SANTOS, RICARDO . Design and Implementation of the PBIW Instruction Decoder in a Softcore Embedded Processor. In: 2012 13th Symposium on Computer Systems XIII Simp sio de Sistemas Computacionais (WSCADSSC), 2012, Petropolis. 2012 13th Symposium on Computer Systems. p. 110. 
"
2331,"
BOGUE, E. ; HOSINO, E. A. ; SANTOS, R. M. O. ; ALVES, H. H. ; SANTOS, R. . Strip Packing Heuristics for the DAGs Packing Problem. In: XLIV SBPO/XVI CLAIO, 2012, Rio de Janeiro. Anais do XLIV Simpósio Brasileiro de Pesquisa Operacional/XVI Congresso Latino Americano de Investigacion Operativa, 2012. 
"
2332,"
CARNEIRO, A. M. ; PASQUALI, A. ; ROMERO, M. E. R. ; Martins, E. M. ; SANTOS, R. ; SILVA FILHO, J. M. ; MIYAMOTO, E. ; COSTA, L. C. M. . SIDAT - Integrated System for Automatic Diagnostic on Power Transformers. In: 10th IEEE/IAS International Conference on Industry Applications, 2012, Fortaleza. Proceedings of the 10th IEEE/IAS International Conference on Industry Applications, 2012. 
"
2333,"
SILVA, L. C. ; SILVA, R. S. ; SANTOS, R. . An Integrated Technique for Instruction Scheduling and Register Allocation Based on Subgraph Isomorphism. In: 16th BRAZILIAN SYMPOSIUM ON PROGRAMMING LANGUAGES, 2012, Natal. Proceedings of the 16th BRAZILIAN SYMPOSIUM ON PROGRAMMING LANGUAGES, 2012. 
"
2334,"
ROMERO, MILTON E. R. ; MARTINS, EVANDRO M. ; SANTOS, RICARDO R. ; GONZALEZ, MARIO E. D. . Analog to digital converter for binary and multiple-valued logic. In: 2011 IEEE Second Latin American Symposium on Circuits and Systems (LASCAS), 2011, Bogota. 2011 IEEE Second Latin American Symposium on Circuits and Systems (LASCAS). p. 1. 
"
2335,"
ROMERO, M. E. R. ; Martins, E. M. ; SANTOS, R. . Multiple Valued Logic for the Synthesis of Digital Circuits. In: 39th International Symposium on Multiple Valued Logic, 2009, Naha. Proceedings of the 39th IEEE International Symposium on Multiple Valued Logic, 2009. p. 262-267. 
"
2336,"
SANTOS, R.; MORETTO, T. . Trimaran: Uma Infraestrutura de Compilação para o Paralelismo em Nível de Instrução. In: XIII Simpósio Brasileiro de Linguagens de Programação, 2009, Gramado. Anais do XIII Simpósio Brasileiro de Linguagens de Programação, 2009. 
"
2337,"
SANTOS, R. R.; AZEVEDO, R. ; ARAUJO, G. C. S. . An Instruction Scheduling Algorithm Based on Subgraph Isomorphism. In: Brazilian Symposium on Programming Languages, 2008, Fortaleza. XII Brazilian Symposium on Programming Languages, 2008. 
"
2338,"
OLIVEIRA, R. M. ; SANTOS, R. . Problemas de Roteamento com Janela de Tempo: Uma Abordagem via Geração de Colunas. In: Simpósio Brasileiro de Pesquisa Operacional, 2008, João Pessoa. Anais do XL Simpósio Brasileiro de Pesquisa Operacional, 2008. 
"
2339,"
BATISTELLA, R. ; SANTOS, R. ; AZEVEDO, R. . PBIW: Uma Codificação de Instruções Alternativa para Arquiteturas de Alto Desempenho. In: IX Simpósio em Sistemas Computacionais WSCAD-SSC, 2008, Campo Grande. Anais do IX Simpósio em Sistemas Computacionais WSCAD-SSC, 2008. 
"
2340,"
PERALTA, H. L. ; ROMERO, M. E. R. ; Martins, E. M. ; SANTOS, R. R. . El Principio de Dualidad en la Lógica de Múltiples Valores. In: ANDESCON 2008, 2008, Cusco. ANDESCON, 2008. 
"
2341,"
SANTOS, R.; AZEVEDO, R. ; OLIVEIRA, R. M. . A DAGs-Packing Heuristic for a High Performance Processor Architecture. In: XXXIX Simpósio Brasileiro de Pesquisa Operacional, 2007, Fortaleza. Anais do XXXIX Simpósio Brasileiro de Pesquisa Operacional, 2007. 
"
2342,"
SANTOS, R.. Ensino de Arquiteturas de Computadores no Curso de Sistemas de Informação da UCDB. In: II Workshop de Educação em Arquiteturas de Computadores, 2007, Gramado. Anais do VIII Workshop em Sistemas Computacionais de Alto Desempenho, 2007. 
"
2343,"
SANTOS, R. R.; AZEVEDO, R. ; ARAUJO, G. C. S. . Exploiting Dynamic Reconfiguration Techniques: The 2D-VLIW Approach. In: International Workshop on Reconfigurable Architectures, 2006, Rhodes. Proceedings of the International Symposium on Parallel and Distributed Systems, 2006. 
"
2344,"
SANTOS, R. R.; AZEVEDO, R. ; ARAUJO, G. C. S. . 2D-VLIW: An Architecture Based on the Geometry of the Computation. In: 17th IEEE International Conference on Application-specific Systems Architectures and Processors, 2006, SteamBoat Springs. Proceedings of the 17th IEEE International Conference on Application-specific Systems Architectures and Processors, 2006. 
"
2345,"
SANTOS, R. R.; RUCHSKYS, D. P. ; ROMERO, M. E. R. ; GONDA, L. ; CASTRO JUNIOR, A. A. . A New Implementation for Parallel Processing Based on CORBA Standard. In: International Conference on Parallel and Distributed Processing Techniques and Applications, 2004, Las Vegas. Distributed Applications. Las Vegas, 2004. 
"
2346,"
SANTOS, R. R.; CORTES, O. A. C. ; SANTANA, M. J. ; SANTANA, R. H. C. . Desenvolvimento de uma política de Escalonamento utilizando Lógica Nebulosa. In: I WPerformance, 2002, Florianópolis. Anais do XXII Congresso da Sociedade Brasileira de Computação, 2002. 
"
2347,"
SANTOS, R. R.; CORTES, O. A. C. ; SANTANA, M. J. ; SANTANA, R. H. C. . Modelagem e Implementação de uma Política de Escalonamento Utilizando Lógica Nebulosa. In: IV Workshop de Sistemas Distribuidos y Paralelismo, 2002, Copiapo. XXII Conferencia Internacional de la Sociedad Chilena de Ciencia de la Computación, 2002. 
"
2348,"
SANTOS, R. R.; SANTANA, M. J. ; SANTANA, R. H. C. ; SOUZA, P. S. L. . Performance Evaluation of Distributed Applications Development Tools from Interprocess Communication Point of View. In: Parallel and Distributed Techniques and Applications Conference, 2001, Las Vegas. Communication Tools, 2001. 
"
2349,"
SANTOS, R. R.; SANTANA, M. J. . Escalonamento de aplicações paralelas: interface AMIGO-CORBA. In: Workshop de Teses e Dissertações Defendidas, 2001, São Carlos. Teses e Dissertações Defendidas, 2001. 
"
2350,"
ALVES, H. H. ; ALVES, M. ; SANTOS, R. . Algoritmos para Dimensionamento e Empacotamento de Grafos Acíclicos Dirigidos. In: XLII Simpósio Brasileiro de Pesquisa Operacional, 2010, Bento Gonçalves. XLII Simpósio Brasileiro de Pesquisa Operacional, 2010. 
"
2351,"
MACHADO, T. W. ; PISTORI, H. ; SANTOS, R. . Algoritmo Paralelo para o Problema do Roteamento de Veículo com Janelas de Tempo Utilizando a Plataforma CUDA. In: WSCAD-WIC, 2010, Petropólis. Anais do Workshop de Iniciação Científica (WSCAD-WIC), 2010. 
"
2352,"
YONEHARA, F. P. ; SANTOS, R. . Simulação de Código x86 em Processadores Experimentais. In: WSCAD-WIC, 2010, Petropólis. Anais do Workshop de Iniciação Científica (WSCAD-WIC), 2010. 
"
2353,"
VITAL, P. R. P. ; SANTOS, R. R. . Avaliação de Desempenho dos Componentes de Políticas de Escalonamento de Processos em Ambientes Distribuídos. In: V Workshop de Sistemas Computacionais de Alto Desempenho (WSCAD), 2004, Foz do Iguaçu. V Workshop de Sistemas Computacionais de Alto Desempenho, 2004. 
"
2354,"
OLIVEIRA, R. M. ; SANTOS, R. ; AZEVEDO, R. . Integer Linear Formulation for the DAGs-Packing Problem. In: ALIO-INFORMS Joint International Meeting, 2010, Buenos Aires. ALIO-INFORMS Joint International Meeting - Book of Abstracts, 2010. p. 34-34. 
"
2355,"
INSFRAN, R. I. ; GONDA, L. ; SANTOS, R. . Montagem, Configuração e Caracterização de um Cluster para a UCDB. In: XIII Encontro de Iniciação Científica da UCDB, 2009, Campo Grande. Caderno de Resumos do XIII Encontro de Iniciação Científica da UCDB, 2009. p. 11-11. 
"
2356,"
MACHADO, T. W. ; SANTOS, R. ; GONDA, L. . Pesquisa e Implementação de um Algoritmo Paralelo para o Problema da Árvore Geradora Mínima. In: XIII Encontro de Iniciação Científica da UCDB, 2009, Campo Grande. Caderno de Resumos do XIII Encontro de Iniciação Científica da UCDB, 2009. 
"
2357,"
MORITA, R. H. ; GONDA, L. ; SANTOS, R. . Codificação de Programas: Técnicas e Algoritmos. In: XIII Encontro de Iniciação Científica da UCDB, 2009, Campo Grande. Caderno de Resumos do XIII Encontro de Iniciação Científica da UCDB, 2009. 
"
2358,"
AVILA, K. A. ; SANTOS, R. . Desenvolvimento e Integração dos Algoritmos de Escalonamento de Instruções e Alocação de Registradores para o Processador 2D-VLIW. In: XIII Encontro de Iniciação Científica da UCDB, 2009, Campo Grande. Caderno de Resumos do XIII Encontro de Iniciação Científica da UCDB, 2009. 
"
2359,"
YONEHARA, F. P. ; SANTOS, R. . Projeto, Modelagem e Simulaçao de Processadores de Alto Desempenho. In: XIII Encontro de Iniciação Científica da UCDB, 2009, Campo Grande. Caderno de Resumos do XIII Encontro de Iniciação Científica da UCDB, 2009. 
"
2360,"
RECH, R. ; GONDA, L. ; SANTOS, R. . Pesquisa e Implementação de um Algoritmo Paralelo para o Problema de Roteamento de Veículos com Janelas de Tempo. In: XIII Encontro de Iniciação Científica da UCDB, 2009, Campo Grande. Caderno de Resumos do XIII Encontro de Iniciação Científica da UCDB, 2009. 
"
2361,"
ZUFFO, F. A. ; SANTOS, R. R. . Análise e Avaliação de Desempenho dos Mecanismos de Comunicação na Arquitetura CORBA. In: XI Simpósio Internacional de Iniciação Científica da Universidade de São Paulo, 2003, São Carlos. XI Simpósio Internacional de Iniciação Científica da Universidade de São Paulo, 2003. 
"
2362,"
QUINELATO, D. D. D. ; BATISTA, E. A. ; SANTOS, R. ; ALLATTA, E. F. ; BRITO, M. A. G. . PROJETO DE UM ESTIMADOR DE PERDAS POR SUJIDADE EM MÓDULOS FOTOVOLTAICOS UTILIZANDO MODELO PREDITIVO. REVISTA ELETRÔNICA DE POTÊNCIA, 2021. 
"
2363,"
RIBEIRO, K. G. ; SANTOS, R. ; SARAIVA, E. F. ; RAJAGOPAL, R. . A Statistical Methodology to Estimate Soiling Losses on Photovoltaic Solar Plants. JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME, 2021. 
"
2364,"
SANTOS, R.. Gerenciamento de Projetos de Pesquisa e Desenvolvimento Tecnológico: a experiência do LSCAD/FACOM/UFMS. 2013. (Apresentação de Trabalho/Seminário). 
"
2365,"
SILVA, L. C. ; SANTOS, R. . A Unified Technique for Instruction Scheduling and Register Allocation Based on Subgraph Isomorphism. 2012. (Apresentação de Trabalho/Congresso). 
"
2366,"
SANTOS, R.. Do Átomo ao Bit: desvendado o processo de fabricação de circuitos integrados. 2012. (Apresentação de Trabalho/Conferência ou palestra). 
"
2367,"
SANTOS, R.. Oportunidades em Engenharia de Computação. 2009. (Apresentação de Trabalho/Conferência ou palestra). 
"
2368,"
SANTOS, R.. Projetos de Pesquisa em Desenvolvimento no Grupo de Pesquisa em Engenharia e Computação. 2008. (Apresentação de Trabalho/Seminário). 
"
2369,"
SANTOS, R.. Arquiteturas de Alto Desempenho: o projeto 2D-VLIW. 2007. (Apresentação de Trabalho/Conferência ou palestra). 
"
2370,"
SANTOS, R.. Arquitetura de Processador Baseada na Geometria da Computação. 2007. (Apresentação de Trabalho/Conferência ou palestra). 
"
2371,"
MARKS, R. A. ; ARAUJO, F. O. ; SANTOS, R. . PBIW Instruction Encoding Technique on the r-Vex Processor: Design and First Results 2012 (Relatório Técnico). 
"
2372,"
BATISTELLA, R. ; SANTOS, R. ; AZEVEDO, R. . A New Technique for Instruction Encoding in High Performance Architectures 2007 (Relatório Técnico). 
"
2373,"
SANTOS, R. R.; AZEVEDO, R. ; ARAUJO, G. C. S. . The 2D-VLIW Architecture 2006 (Relatório Técnico). 
"
2374,"
SANTOS, R. R.; TEIXEIRA, M. A. M. ; SANTANA, M. J. ; SANTANA, R. H. C. . Desenvolvimento de Aplicações Distribuídas Usando a Arquitetura CORBA.
							São Carlos:
									ICMC,  2002 (Notas Didáticas). 
"
2375,"
SANTOS, R. R.. Escalonamento de aplicações paralelas: interface AMIGO-CORBA.
							São Carlos 2001 (Dissertação de Mestrado). 
"
2376,"
SANTOS, R.. Consultor Ad hoc - Fundect - Edital de PIBIC-UEMS. 2013. 
"
2377,"
SANTOS, R.. Consultor Ad hoc - Fundect - Edital de PIBIC-UEMS. 2012. 
"
2378,"
SANTOS, R.. Consultor Ad hoc - UCDB - Edital Interno de Projetos de Pesquisa. 2012. 
"
2379,"
BATISTELLA, R. ; SANTOS, R. ; AZEVEDO, R. . PBIW: Ferramenta para Codificação de Instruções Baseada em Padrões. 2008. 
"
2380,"
OLIVEIRA, R. M. ; SANTOS, R. ; ARENALES, M. N. . Algoritmo para Roteamento de Veículos com Janelas de Tempo. 2008. 
"
2381,"
SANTOS, R.. ISI: Interface Snort IpTables - Ferramenta Computacional de Integração Firewall e IDS. 2008. 
"
2382,"
SANTOS, R.; AZEVEDO, R. ; AVILA, K. A. . Algoritmo para Escalonamento de Instruções e Alocação de Registradores Baseado em Isomorfismo de Subgrafos. 2007. 
"
2383,"
SANTOS, R. R.; CALÔNEGO JÚNIOR, N. . AETC - Uma ferramenta para auxílio à elaboração de textos científicos. 1999. 
"
2384,"
SANTOS, R.. Revisor Adhoc 23rd IEEE International Conference on Electronics, Circuits and Systems (ICECS). 2016. 
"
2385,"
SANTOS, R.. Revisor Adhoc WSCAD 2016. 2016. 
"
2386,"
SANTOS, R.. Revisor Ad Hoc CODES+ISSS 2014. 2014. 
"
2387,"
FERREIRA, R. A. ; SANTOS, R. . Avaliador in loco do Curso de Ciência da Computação da Universidade Estadual de Mato Grosso do Sul. 2013. 
"
2388,"
SANTOS, R.. Parecerista Ad Hoc da Fundect-MS. 2012. 
"
2389,"
SANTOS, R.. Parecerista Ad Hoc de Projetos da PROPP/UFMS. 2012. 
"
2390,"
SANTOS, R.. Parecerista Ad Hoc Induscon 2012. 2012. 
"
2391,"
SANTOS, R.. Consultor Ad Hoc do Edital PAPPE/FAPEMAT 008/2009. 2009. 
"
2392,"
GODOY, D. ; PISTORI, H. ; Silva, N. C. ; SANTOS, R. ; COELHO, A. E. L. . Organizador do Caderno de Resumos do XIII Encontro de Iniciação Científica da UCDB. 2009. 
"
2393,"
SANTOS, R.; COELHO, A. E. L. ; Brissov, M. L. M. A. ; Qui ; Silva, N. C. ; PISTORI, H. . Organizador do Caderno de Resumos do XII Encontro de Iniciação Científica da UCDB. 2008. 
"
2394,"
SANTOS, R.. Projeto de Circuitos Reconfiguráveis. 2013. (Curso de curta duração ministrado/Outra). 
"
2395,"
SANTOS, R.. Introdução à Computação Física. 2013. (Curso de curta duração ministrado/Outra). 
"
2396,"
 SANTOS, R.; Martins, E. M. ; ALVES, F. V. ; ARAUJO, F. O. ; BRESSAN, P. O. ; MARIN, C. ; MADDALENA, E. T. ; ANDRADE, J. P. G. ; GENTIL, G. F. ; CARROMEU, C. . EQUIPAMENTO, MÉTODO E SISTEMA NÃO INTRUSIVOS DE MONITORAMENTO DE SINAIS FISIOLÓGICOS DE ANIMAIS E PARÂMETROS AMBIENTAIS. 
						2016, 
						Brasil. 
                Patente:
                Privilégio de Inovação.
            Número do registro: BR10201600222, título: ""EQUIPAMENTO, MÉTODO E SISTEMA NÃO INTRUSIVOS DE MONITORAMENTO DE SINAIS FISIOLÓGICOS DE ANIMAIS E PARÂMETROS AMBIENTAIS"" , Instituição de registro: INPI - Instituto Nacional da Propriedade Industrial.          
        Depósito: 20/01/2016
"
